id;token;name;description;start_date;end_date;archived;created_by;created_date;last_modified_by;last_modified_date
1;d4399000-3db6-481d-b7f8-93070fba9560;Account Total;system benchmark European;2023-02-23T05:57:09;2023-02-23T07:57:32;true;Keyboard Account world-class;2023-02-23T12:04:05;SMTP vortals revolutionary;2023-02-23T08:33:17
2;14d1cf08-b643-437a-b1cd-52e71a8bb07f;open-source;Sachsen navigating Intelligent;2023-02-22T18:07:35;2023-02-23T01:10:01;false;Euro;2023-02-22T19:01:22;Georgien technologies Ringgit;2023-02-23T11:33:07
3;ee0c2403-6c92-4c23-9cdb-3cb7b410e21d;Central Mouse;services infomediaries Technician;2023-02-22T21:02:57;2023-02-23T09:14:07;true;Gloves;2023-02-23T01:44:38;Directives invoice;2023-02-22T21:37:16
4;7875ff7e-215c-433b-b7d2-bdbf2c248312;Program Dschibuti;supply-chains;2023-02-23T03:43:05;2023-02-23T13:13:50;true;Brandenburg Practical;2023-02-23T06:11:49;International networks;2023-02-23T03:41:09
5;f7c2abd5-38b7-44df-a46d-578cfa5d6245;conglomeration;system Handmade;2023-02-22T20:53:59;2023-02-23T14:35:21;true;Borders;2023-02-23T09:05:51;bypass;2023-02-23T13:31:52
6;51f763a5-6c73-4380-88b2-ede2fad39e36;Fresh;Account programming B2C;2023-02-23T01:36:10;2023-02-23T08:00:09;false;object-oriented;2023-02-23T03:10:03;Thüringen (customarily;2023-02-23T06:10:29
7;b359f8bf-f166-459a-b036-94292457d429;Saarland;Gorgeous;2023-02-22T21:07:50;2023-02-23T13:42:24;true;zero;2023-02-23T00:40:53;indexing East;2023-02-23T13:01:15
8;17e4ea1f-aa66-4401-87b9-13f4ff567d5e;TCP vortals grow;Unions JBOD;2023-02-22T18:01:57;2023-02-23T16:12:44;true;front-end Wooden;2023-02-22T22:51:44;Electronics Persistent;2023-02-23T05:03:28
9;cdcd7c77-81e8-42c0-8db3-426379ce5a99;driver;microchip Swasiland Awesome;2023-02-23T01:33:17;2023-02-23T06:21:22;true;multi-byte Fantastic;2023-02-23T00:29:38;Executive Cotton Computer;2023-02-23T14:28:18
10;31681c87-1053-4589-9c5a-f4bbdf17e889;auxiliary niches Pizza;Borders users;2023-02-22T18:47:26;2023-02-23T04:41:04;true;Security Borders hack;2023-02-23T00:45:06;Squares Division Berlin;2023-02-23T03:10:09
